[2024-11-27 19:24:12,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 19:24:12,741: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 19:24:12,743: INFO: common: created directory at: artifacts]
[2024-11-27 19:24:12,744: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 19:24:12,745: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 19:25:19,838: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 19:25:22,438: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-27 19:25:22,439: INFO: main: *******************]
[2024-11-27 19:25:22,439: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-11-27 19:25:22,442: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 19:25:22,445: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 19:25:22,447: INFO: common: created directory at: artifacts]
[2024-11-27 19:25:22,449: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-27 19:25:23,138: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-27 19:25:24,497: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-11-28 10:49:28,516: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-28 10:49:28,542: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-28 10:49:28,546: INFO: common: created directory at: artifacts]
[2024-11-28 10:49:28,549: INFO: common: created directory at: artifacts\training]
[2024-11-28 10:52:14,300: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-28 10:52:14,305: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-28 10:52:14,311: INFO: common: created directory at: artifacts]
[2024-11-28 10:52:14,315: INFO: common: created directory at: artifacts\training]
[2024-11-28 10:57:32,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-28 10:57:32,119: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-28 10:57:32,124: INFO: common: created directory at: artifacts]
[2024-11-28 10:57:32,127: INFO: common: created directory at: artifacts\training]
[2024-11-28 11:25:03,310: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-28 11:25:03,316: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-28 11:25:03,319: INFO: common: created directory at: artifacts]
[2024-11-28 11:25:03,324: INFO: common: created directory at: artifacts\training]
[2024-11-29 18:08:43,399: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-29 18:08:43,412: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-29 18:08:43,423: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-29 18:08:43,424: INFO: common: created directory at: artifacts]
[2024-11-29 18:08:43,424: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-29 18:08:43,425: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-29 18:14:35,293: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-29 18:14:37,891: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-29 18:14:37,893: INFO: main: *******************]
[2024-11-29 18:14:37,893: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-11-29 18:14:37,907: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-29 18:14:37,920: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-29 18:14:37,921: INFO: common: created directory at: artifacts]
[2024-11-29 18:14:37,924: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-29 18:14:38,944: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-29 18:14:39,456: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-11-29 18:14:39,458: INFO: main: *******************]
[2024-11-29 18:14:39,458: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-11-29 18:14:39,462: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-29 18:14:39,464: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-29 18:14:39,465: INFO: common: created directory at: artifacts]
[2024-11-29 18:14:39,467: INFO: common: created directory at: artifacts\training]
[2024-11-29 18:16:41,328: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
